"Date","Result","WhiteElo","BlackElo","NMoves","game_id","Player","Name"
"2021.06.07","0-1",2436,2509,49,16058910,"BlackPlayerName","Velimir Ivic"
"2021.06.07","0-1",2446,2436,43,16058912,"WhitePlayerName","Thai Dai Van Nguyen"
"2021.06.07","0-1",2446,2436,43,16058912,"BlackPlayerName","Denis Lazavik"
"2021.06.07","0-1",2436,2509,72,16058916,"WhitePlayerName","Denis Lazavik"
"2021.06.07","0-1",2436,2509,72,16058916,"BlackPlayerName","Velimir Ivic"
"2021.06.07","1/2-1/2",2436,2509,50,16058928,"WhitePlayerName","Denis Lazavik"
"2021.06.07","1/2-1/2",2436,2509,50,16058928,"BlackPlayerName","Velimir Ivic"
"2021.06.07","0-1",2452,2474,54,16058934,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","0-1",2452,2474,54,16058934,"BlackPlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2452,91,16058938,"WhitePlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2452,91,16058938,"BlackPlayerName","Paulius Pultinevicius"
"2021.06.07","1/2-1/2",2436,2474,72,16058948,"WhitePlayerName","Denis Lazavik"
"2021.06.07","1/2-1/2",2436,2474,72,16058948,"BlackPlayerName","Vincent Keymer"
"2021.06.07","0-1",2436,2474,68,16058950,"WhitePlayerName","Denis Lazavik"
"2021.06.07","0-1",2436,2474,68,16058950,"BlackPlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2436,2509,47,16058982,"WhitePlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2509,47,16058982,"BlackPlayerName","Velimir Ivic"
"2021.06.07","0-1",2436,2474,58,16058984,"WhitePlayerName","Denis Lazavik"
"2021.06.07","0-1",2436,2474,58,16058984,"BlackPlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2436,2509,47,16058986,"WhitePlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2509,47,16058986,"BlackPlayerName","Velimir Ivic"
"2021.06.07","0-1",2474,2436,41,16058988,"WhitePlayerName","Vincent Keymer"
"2021.06.07","0-1",2474,2436,41,16058988,"BlackPlayerName","Denis Lazavik"
"2021.06.07","1/2-1/2",2436,2509,67,16059004,"WhitePlayerName","Denis Lazavik"
"2021.06.07","1/2-1/2",2436,2509,67,16059004,"BlackPlayerName","Velimir Ivic"
"2021.06.07","Jan-00",2436,2474,41,16059006,"WhitePlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2474,41,16059006,"BlackPlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2436,71,16059010,"WhitePlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2436,71,16059010,"BlackPlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2474,51,16059012,"WhitePlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2474,51,16059012,"BlackPlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2436,52,16059018,"WhitePlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2436,52,16059018,"BlackPlayerName","Denis Lazavik"
"2021.06.07","1/2-1/2",2474,2436,68,16059024,"WhitePlayerName","Vincent Keymer"
"2021.06.07","1/2-1/2",2474,2436,68,16059024,"BlackPlayerName","Denis Lazavik"
"2021.06.07","1/2-1/2",2452,2474,102,16059030,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","1/2-1/2",2452,2474,102,16059030,"BlackPlayerName","Vincent Keymer"
"2021.06.07","0-1",2436,2474,72,16059032,"WhitePlayerName","Denis Lazavik"
"2021.06.07","0-1",2436,2474,72,16059032,"BlackPlayerName","Vincent Keymer"
"2021.06.07","1/2-1/2",2452,2474,95,16059044,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","1/2-1/2",2452,2474,95,16059044,"BlackPlayerName","Vincent Keymer"
